순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수,내용,이미지
493,129133723,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,https://www.yes24.com/product/goods/129133723,고경희,이지스퍼블리싱,2024년 07월,"28,800","32,000",10%,"3,702",,
494,128725552,색 잘 쓰는 디자이너,https://www.yes24.com/product/goods/128725552,고바야시 레나 저/강아윤 감수,이지스퍼블리싱,2024년 08월,"16,200","18,000",10%,"2,310",,
495,127788111,혼자 해도 프로처럼 잘 만드는 굿즈 제작 비법,https://www.yes24.com/product/goods/127788111,박정아,한빛미디어,2024년 06월,"19,800","22,000",10%,"1,614",,
496,126829855,엔트리 인공지능 with 햄스터 로봇,https://www.yes24.com/product/goods/126829855,"강윤지, 박찬규, 강성웅, 김원유, 심재민 저 외 5명
                                        
정보 더 보기/감추기



강윤지
박찬규
강성웅
김원유
심재민
김연구
홍성용
김경상
정인재
박광현",영진닷컴,2024년 05월,"16,200","18,000",10%,"2,415",,
497,126643792,"일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기",https://www.yes24.com/product/goods/126643792,강남석,한빛미디어,2024년 06월,"25,200","28,000",10%,"2,454",,
498,126330334,기계는 어떻게 생각하는가? (리커버판),https://www.yes24.com/product/goods/126330334,숀 게리시 저/이수겸 역,이지스퍼블리싱,2024년 05월,"16,200","18,000",10%,936,,
499,126202247,이모티콘 작가 되기 with 프로크리에이트,https://www.yes24.com/product/goods/126202247,박재이,리얼북스,2024년 05월,"15,120","16,800",10%,"2,682",,
500,126181417,챗GPT 프롬프트 120% 질문 기술,https://www.yes24.com/product/goods/126181417,ChatGPT 비즈니스 연구회 저/김모세 역,정보문화사,2024년 04월,"13,500","15,000",10%,"2,310",,
501,126161512,코딩 테스트 합격자 되기 - C++ 편,https://www.yes24.com/product/goods/126161512,박경록,골든래빗,2024년 05월,"40,500","45,000",10%,882,,
502,126112113,DSLR&미러리스 사진&영상 촬영백과,https://www.yes24.com/product/goods/126112113,김용만,성안당,2024년 04월,"34,200","38,000",10%,828,,
503,126010839,마인크래프트 초보자 가이드 New Edition,https://www.yes24.com/product/goods/126010839,Mojang Studio 저/이주안 역,영진닷컴,2024년 04월,"13,500","15,000",10%,"3,474",,
504,125886358,UX/UI의 10가지 심리학 법칙,https://www.yes24.com/product/goods/125886358,존 야블론스키 저/이미령 역,책만,2024년 04월,"16,200","18,000",10%,"2,280",,
505,125299750,컴퓨터 밑바닥의 비밀,https://www.yes24.com/product/goods/125299750,루 샤오펑 저/김진호 역,길벗,2024년 03월,"29,700","33,000",10%,"2,250",,
506,125137664,생성형 인공지능과 함께하는 사회정서학습,https://www.yes24.com/product/goods/125137664,"박찬, 김병석, 전은경, 전수연, 강윤진 저 외 1명
                                        
정보 더 보기/감추기



박찬
김병석
전은경
전수연
강윤진
김지용",다빈치books,2024년 03월,"19,800","22,000",10%,"1,674",,
507,125131637,만들면서 배우는 워드프레스,https://www.yes24.com/product/goods/125131637,박현우,한빛미디어,2024년 03월,"26,100","29,000",10%,"3,012",,
508,124988756,누구나 따라할 수 있는 기막힌 중국 구매대행 + 수입판매 끝장 매뉴얼,https://www.yes24.com/product/goods/124988756,"이윤섭, 손승엽",앤써북,2024년 02월,"15,930","17,700",10%,636,,
509,124939147,가상 면접 사례로 배우는 머신러닝 시스템 설계 기초,https://www.yes24.com/product/goods/124939147,"알리 아미니안, 알렉스 쉬 저/최종일 역",인사이트(insight),2024년 02월,"24,300","27,000",10%,"1,140",,
510,124832401,수학자와 함께하는 인공지능 수학 with 파이썬,https://www.yes24.com/product/goods/124832401,"김종락, 원병선",한빛아카데미,2024년 01월,"32,000","32,000",,"2,760",,
511,124640233,밑바닥부터 시작하는 딥러닝 4,https://www.yes24.com/product/goods/124640233,사이토 고키 저/개앞맵시 역,한빛미디어,2024년 01월,"27,000","30,000",10%,"2,184",,
512,124608984,Do it! 시뮬레이터+키트로 완성하는 아두이노 입문,https://www.yes24.com/product/goods/124608984,박필준,이지스퍼블리싱,2024년 01월,"22,950","25,500",10%,"1,320",,
513,124536057,팅커캐드 3D 디자인&코딩,https://www.yes24.com/product/goods/124536057,이상범,REXmedia(렉스미디어),2024년 01월,"12,600","14,000",10%,288,,
514,124213797,결정적 사건으로 배우는 암호학,https://www.yes24.com/product/goods/124213797,윤진 저/이솔 그림,골든래빗,2024년 01월,"18,000","20,000",10%,714,,
515,124138645,가상 면접 사례로 배우는 대규모 시스템 설계 기초 2,https://www.yes24.com/product/goods/124138645,"알렉스 쉬, 산 람 저/이병준 역",인사이트(insight),2024년 01월,"32,400","36,000",10%,"3,378",,
516,123685657,Do it! 데이터 분석을 위한 판다스 입문,https://www.yes24.com/product/goods/123685657,다니엘 첸 저/시진 역,이지스퍼블리싱,2023년 11월,"22,500","25,000",10%,"1,122",,
517,122560579,된다! 책 만들기 with 인디자인,https://www.yes24.com/product/goods/122560579,김혜린,이지스퍼블리싱,2023년 09월,"19,800","22,000",10%,"1,434",,
518,122544981,문제 해결을 위한 알고리즘 with 수학,https://www.yes24.com/product/goods/122544981,요네다 마사타카 저/윤인성 역,위키북스,2023년 09월,"37,800","42,000",10%,552,,
519,122535588,클립 스튜디오 입문 교실,https://www.yes24.com/product/goods/122535588,사이도런치 저/고영자 역,영진닷컴,2023년 09월,"20,700","23,000",10%,"1,764",,
520,122432412,자동화 마케팅 무작정 따라하기,https://www.yes24.com/product/goods/122432412,"신태순, 조수현",길벗,2023년 09월,"19,800","22,000",10%,222,,
521,122428247,네이버 키워드 상위노출 비법,https://www.yes24.com/product/goods/122428247,조영빈,디지털북스,2023년 09월,"18,000","20,000",10%,264,,
522,122320508,나는 파이썬으로 머신러닝한다 2,https://www.yes24.com/product/goods/122320508,"장병철, 이지항, 박지훈, 최정원",씨마스,2023년 09월,"20,700","23,000",10%,900,,
523,122168734,“OECD 교육 2030” & “2022 개정 교육과정” 미래 교육 나침반,https://www.yes24.com/product/goods/122168734,지미정,앤써북,2023년 09월,"15,930","17,700",10%,888,,
524,122141598,가장 쉬운 이모티콘 만들기,https://www.yes24.com/product/goods/122141598,정수진,정보문화사,2023년 09월,"19,800","22,000",10%,372,,
525,121991923,개발자와의 협업을 위한 IT 필수 지식,https://www.yes24.com/product/goods/121991923,최선신,영진닷컴,2023년 08월,"15,300","17,000",10%,804,,
526,121913198,상상을 실현하는 로블록스 게임 만들기,https://www.yes24.com/product/goods/121913198,"강태훈, 장준하, D.LAB",한빛미디어,2023년 08월,"19,800","22,000",10%,"2,454",,
527,121567188,로블록스 타워맵 만들기,https://www.yes24.com/product/goods/121567188,노페어(Nofair),디지털북스,2023년 08월,"20,700","23,000",10%,660,,
528,120235845,사실은 이것도 디자인입니다,https://www.yes24.com/product/goods/120235845,김성연(우디),한빛미디어,2023년 07월,"17,100","19,000",10%,822,,
529,118754202,모던 로보틱스,https://www.yes24.com/product/goods/118754202,"케빈 M. 린치, 박종우 저/이병호, 윤상웅, 권재운 역 외 7명
                                        
정보 더 보기/감추기



케빈 M. 린치
박종우
이병호
윤상웅
권재운
김영훈
김종민
임중빈
손민준
정진
이상현
양우성",에이콘출판사,2023년 05월,"45,000","50,000",10%,"1,206",,
530,118685906,이것이 C#이다,https://www.yes24.com/product/goods/118685906,박상현,한빛미디어,2023년 05월,"32,400","36,000",10%,"2,670",,
531,118523424,파이썬 라이브러리를 활용한 데이터 분석,https://www.yes24.com/product/goods/118523424,웨스 맥키니 저/김영근 역,한빛미디어,2023년 05월,"35,100","39,000",10%,"1,911",,
532,118279214,마인크래프트 놀라운 발명품 만들기,https://www.yes24.com/product/goods/118279214,Mojang Studio,영진닷컴,2023년 04월,"14,400","16,000",10%,246,,
533,117083178,진짜 쓰는 일러스트레이터,https://www.yes24.com/product/goods/117083178,서영열,제이펍,2023년 02월,"21,600","24,000",10%,"1,374",,
534,116981971,HTML5 + CSS3 + JavaScript로 배우는 웹프로그래밍 기초,https://www.yes24.com/product/goods/116981971,천인국,인피니티북스,2023년 01월,"33,000","33,000",,"1,314",,
535,116253011,혼자 공부하는 데이터 분석 with 파이썬,https://www.yes24.com/product/goods/116253011,박해선,한빛미디어,2023년 01월,"23,400","26,000",10%,"6,306",,
536,115817548,"라즈베리파이 피코, 마이크로파이썬을 만나다",https://www.yes24.com/product/goods/115817548,허경용,제이펍,2022년 12월,"22,500","25,000",10%,594,,
537,115633781,트랜스포머를 활용한 자연어 처리,https://www.yes24.com/product/goods/115633781,"루이스 턴스톨, 레안드로 폰 베라, 토마스 울프 저/박해선 역",한빛미디어,2022년 11월,"35,100","39,000",10%,"1,086",,
538,115302902,한눈에 보이는 블록체인 그림책,https://www.yes24.com/product/goods/115302902,"한선관, 이정원, 장명현",성안당,2022년 11월,"20,700","23,000",10%,186,,
539,115221981,로블록스 루아 프로그래밍 첫 발자국 떼기,https://www.yes24.com/product/goods/115221981,ROBLOX 저/진석준 역,에이콘출판사,2022년 11월,"31,500","35,000",10%,714,,
